given_name,count,gender
Peter,220599,m
Wolfgang,188470,m
Michael,185321,m
Werner,166742,m
Klaus,162519,m
Thomas,161364,m
Manfred,159369,m
Helmut,148085,m
Jürgen,147383,m
Heinz,146774,m
Gerhard,145044,m
Andreas,141195,m
Hans,140721,m
Josef,140396,m
Günter,134068,m
Dieter,130282,m
Horst,129667,m
Walter,110691,m
Frank,106578,m
Bernd,103022,m
Karl,100567,m
Herbert,99947,m
Franz,88865,m
Martin,85629,m
Uwe,81798,m
Georg,81037,m
Heinrich,80847,m
Stefan,80607,m
Christian,80434,m
Karl-Heinz,80132,m
Rudolf,77878,m
Kurt,75114,m
Hermann,74963,m
Johann,74492,m
Wilhelm,67803,m
Siegfried,67493,m
Rolf,66931,m
Joachim,65962,m
Alfred,64386,m
Rainer,64154,m
Jörg,62451,m
Ralf,61705,m
Erich,61501,m
Norbert,61486,m
Bernhard,60674,m
Willi,59392,m
Alexander,57092,m
Ulrich,54545,m
Markus,54359,m
Matthias,52617,m
Harald,51383,m
Paul,51359,m
Roland,50550,m
Ernst,50379,m
Reinhard,49228,m
Günther,48848,m
Gerd,47709,m
Fritz,47347,m
Otto,47149,m
Friedrich,46652,m
Erwin,46541,m
Lothar,46526,m
Robert,46445,m
Dirk,46300,m
Johannes,41411,m
Volker,40382,m
Wilfried,38245,m
Richard,38091,m
Anton,37953,m
Jens,35119,m
Hans-Jürgen,34115,m
Hubert,33910,m
Udo,33229,m
Holger,33010,m
Albert,32432,m
Ludwig,31853,m
Dietmar,30823,m
Hartmut,30490,m
Reinhold,29573,m
Hans-Joachim,29061,m
Adolf,28891,m
Detlef,28783,m
Oliver,28079,m
Christoph,27631,m
Stephan,26851,m
Axel,23539,m
Reiner,23038,m
Alois,22967,m
Eberhard,22818,m
Waldemar,22699,m
Heiko,21979,m
Daniel,21674,m
Torsten,21436,m
Sven,21388,m
Bruno,21355,m
Olaf,20795,m
Mario,20729,m
Konrad,20513,m
Steffen,20479,m
Ingo,20104,m
Jochen,20070,m
Thorsten,20058,m
Max,19807,m
Alfons,19428,m
Rüdiger,19264,m
Carsten,18737,m
Viktor,18699,m
Hans-Peter,18405,m
Rudi,18192,m
Friedhelm,18097,m
Armin,18009,m
Jan,17929,m
Lutz,17855,m
Ewald,17738,m
Winfried,17604,m
Egon,17476,m
Erhard,17404,m
Sebastian,16692,m
