street_name,municipality,postcode,count
Dorfstraße,Niederer Fläming,14913,3
Hauptstraße,Hoogstede,49846,2
Talstraße,Euskirchen,53881,2
Maschweg,Wienhausen,29342,2
Heerstraße,Mettingen,49497,2
Kirchsteig,Marienberg,09496,2
Hochstraße,Neulingen,75239,2
Hohe Straße,Maintal,63477,2
Straße der Freundschaft,Dassow,23942,2
Mühlenstraße,Mülheim an der Ruhr,45475,2
Dorfstraße,Annaburg,06925,2
Kapellenstraße,Schmallenberg,57392,2
Moorstraße,Sustrum,49762,2
Hauptstraße,Mücka,02906,2
Bergstraße,Neckartailfingen,72666,2
Albrechtstraße,Berlin,12167,2
Dorfstraße,Klötze,38486,2
Mühlenstraße,Roßbach,53547,2
Freudenstädter Straße,Seewald,72297,2
Brunnenstraße,Zahna-Elster,06895,2
Veilchenweg,Berlin,12157,2
Schloßstraße,Barntrup,32683,2
Seeweg,Schluchsee,79859,2
Am Park,Jahnsdorf/Erzgeb.,09387,2
Celler Straße,Hankensbüttel,29386,2
Dorfstraße,Rechlin,17248,2
Schäfereiweg,Löbau,02708,2
Hauptstraße,Rosenbach/Vogtl.,08527,2
Glashüttenweg,Laubach,35321,2
Richard-Wagner-Straße,Bernau,16321,2
Hauptstraße,Temnitztal,16845,2
Borngasse,Hadamar,65589,2
Allmendstraße,Oberwolfach,77709,2
Harzstraße,Blankenburg,38889,2
Deichstraße,Otterndorf,21762,2
Am Wäldchen,Bad Hersfeld,36251,2
Denkmalsweg,Frankenblick,96528,2
Wingertsweg,Mainz,55129,2
Kirchweg,Lennestadt,57368,2
Odenwaldstraße,Weinheim,69469,2
Salzburger Straße,Berchtesgaden,83471,2
Mühlenweg,Aland,39615,1
Mühlenkamp,Winsen (Luhe),21423,1
Mühlenstraße,Süderfahrenstedt,24860,1
Mühlenkamp,Inden,52459,1
Mühlenweg,Bad Oeynhausen,32547,1
Mühlenstraße,Sundern,59846,1
Mühlenkamp,Neuendorf bei Elmshorn,25335,1
Mühlenkamp,Salzgitter,38259,1
Mühlenstraße,Steinfurt,48565,1
Mühlenpfad,Rehlingen-Siersburg,66780,1
Mühlenstraße,Tönisvorst,47918,1
Mühlenweg,Bad Zwischenahn,26160,1
Mühlenweg,Bassum,27211,1
Mühlenstraße,Bad Bentheim,48455,1
Mühlenstraße,Schwienau,29593,1
Mühlenstraße,Bad Breisig,53498,1
Mühlenstraße,Rostock,18119,1
Mühlenstraße,Bonndorf im Schwarzwald,79848,1
Mühlenstraße,Theres,97531,1
Mühlenstraße,Uelsby,24860,1
Mühlenweg,Arendsee (Altmark),39619,1
Mühlenstraße,Weißensberg,88138,1
Mühlental,Zettlitz,09306,1
Mühlengrund,Vechelde,38159,1
Mühlenstraße,Ückeritz,17459,1
Mühlenstraße,Wildeck,36208,1
Mühlengrund,Schenkenzell,77773,1
Mühlenstraße,Wiesenburg/Mark,14827,1
Mühlenstraße,Werl,59457,1
Mühlenstraße,Weisweil,79367,1
Mühlenstraße,Vellberg,74541,1
Mühlenkamp,Amelinghausen,21385,1
Mühlenweg,Bad Arolsen,34454,1
Mühlenstraße,Wasserliesch,54332,1
Mühlenstraße,Vöhl,34516,1
Mühlenstraße,Rastede,26180,1
Mühlenweg,Bad Liebenwerda,04924,1
Mühlenkamp,Gokels,25557,1
Mühlenstraße,Visbek,49429,1
Mühlenstraße,Dresden,01257,1
Mühlenstraße,Otterndorf,21762,1
Mühlenstraße,Glauchau,08371,1
Mühlenstraße,Dinklage,49413,1
Mühlenstraße,Hohentengen,88367,1
Mühlenstraße,Hausbay,56291,1
Mühlenstraße,Hasselberg,24376,1
Mühlenstraße,Haldensleben,39343,1
Mühlenstraße,Gundelfingen,79194,1
Mühlenstraße,Großräschen,01983,1
Mühlenstraße,Großenrade,25712,1
Mühlenstraße,Geseke,59590,1
Mühlenstraße,Issum,47661,1
Mühlenstraße,Freudenberg,57258,1
Mühlenstraße,Fraureuth,08427,1
Mühlenstraße,Frankenberg,35066,1
Mühlenstraße,Flieden,36103,1
Mühlenstraße,Dollerup,24977,1
Mühlenstraße,Felsberg,34587,1
Mühlenstraße,Engen,78234,1
Mühlenstraße,Elze,31008,1
Mühlenstraße,Hückelhoven,41836,1
Mühlenstraße,Itterbeck,49847,1
Mühlenstraße,Breitenbrunn,87739,1
Mühlenstraße,Cottbus,03046,1
Mühlenstraße,Ebergötzen,37136,1
Mühlenstraße,Oberwiera,08396,1
Mühlenstraße,Niederwambach,57614,1
Mühlenstraße,Niedere Börde,39326,1
Mühlenstraße,Neu Wulmstorf,21629,1
Mühlenstraße,Bufleben,99869,1
Mühlenstraße,Nentershausen,36214,1
Mühlenstraße,Burgstall,39517,1
Mühlenstraße,Dassel,37586,1
Mühlenstraße,Jevenstedt,24808,1
Mühlenstraße,Mettingen,49497,1
Mühlenstraße,Lübz,19386,1
Mühlenstraße,Dernbach,56307,1
Mühlenstraße,Linsengericht,63589,1
Mühlenstraße,Königslutter am Elm,38154,1
Mühlenweg,Berlin,12587,1
Mühlenstraße,Kellinghusen,25548,1
Mühlenstraße,Dersum,26906,1
Mühlenweg,Beelen,48361,1
Mühlenweg,Eisenach,99817,1
