given_name,gender_code,ethnicity_code,count
Aahil,m,a,139
Aaliyah,f,a,21
Aaliyah,f,b,1815
Aaliyah,f,h,1703
Aarav,m,a,331
Aaron,m,a,1674
Aaron,m,b,1228
Aaron,m,h,3428
Aaron,m,w,2336
Aarya,f,a,71
Aaryan,m,a,23
Aayan,m,a,273
Aayat,f,a,10
Abby,f,a,413
Abby,f,h,80
Abdiel,m,h,258
Abdoul,m,b,253
Abdoulaye,m,b,405
Abdul,m,a,397
Abdul,m,b,90
Abdullah,m,a,786
Abdullah,m,w,127
Abdulloh,m,w,28
Abe,m,w,11
Abel,m,h,597
Abigail,f,a,830
Abigail,f,b,1367
Abigail,f,h,2743
Abigail,f,w,2986
Aboubacar,m,b,13
Abraham,m,b,148
Abraham,m,h,709
Abraham,m,w,4273
Abrar,m,a,56
Abrielle,f,b,66
Abril,f,h,60
Abubakr,m,w,11
Ace,m,b,41
Ace,m,h,11
Ada,f,a,234
Ada,f,w,316
Adalynn,f,h,10
Adam,m,a,994
Adam,m,b,596
Adam,m,h,1294
Adam,m,w,4451
Adan,m,h,186
Addison,f,b,102
Addison,f,h,13
Addison,f,w,710
Adelaide,f,w,361
Adele,f,h,21
Adele,f,w,641
Adelina,f,w,88
Adeline,f,h,56
Adeline,f,w,339
Adelyn,f,h,93
Adelynn,f,h,11
Aden,m,a,12
Aden,m,b,408
Aden,m,h,210
Adiel,m,h,34
Adina,f,w,577
Aditya,m,a,228
Adonis,m,b,425
Adonis,m,h,474
Adrian,m,a,664
Adrian,m,b,480
Adrian,m,h,4034
Adrian,m,w,1170
Adriana,f,h,1444
Adriana,f,w,802
Adrianna,f,b,204
Adrianna,f,h,507
Adrianna,f,w,384
Adriel,m,h,896
Adyan,m,a,193
Ahad,m,a,10
Aharon,m,w,412
Ahmad,m,a,50
Ahmad,m,w,261
Ahmed,m,a,462
Ahmed,m,b,159
Ahmed,m,w,860
Ahnaf,m,a,157
Ahron,m,w,222
Ahuva,f,w,496
Aicha,f,b,437
Aidan,m,a,808
Aidan,m,b,373
Aidan,m,h,773
Aidan,m,w,1103
Aiden,m,a,3297
Aiden,m,b,3741
Aiden,m,h,5199
Aiden,m,w,2145
Ailani,f,h,11
Aileen,f,a,10
Aileen,f,h,580
Aimee,f,h,160
Aisha,f,a,452
Aisha,f,b,513
Aisha,f,h,78
Aisha,f,w,214
Aissata,f,b,60
Aissatou,f,b,370
Aitana,f,h,11
Aiza,f,a,229
Aizah,f,a,42
Akiva,m,w,661
Alahia,f,h,10
Alaia,f,h,339
Alaina,f,h,21
Alan,m,a,862
Alan,m,h,1494
Alan,m,w,610
Alana,f,b,479
Alana,f,h,477
Alana,f,w,72
Alani,f,b,153
Alani,f,h,231
Alanis,f,h,235
Alanna,f,h,137
Alayna,f,a,10
Alayna,f,h,47
Alba,f,h,10
Albert,m,a,395
Albert,m,h,507
Albert,m,w,419
Alberto,m,h,340
Aldo,m,h,144
Aleah,f,h,66
Alec,m,w,132
Aleena,f,a,411
Aleena,f,h,11
Alejandra,f,h,411
Alejandro,m,h,1782
Aleksander,m,w,60
Aleksandra,f,w,66
Alessandra,f,h,369
Alessandra,f,w,467
Alessandro,m,h,33
Alessandro,m,w,11
Alessia,f,h,16
Alessia,f,w,468
Alex,m,a,1289
Alex,m,b,217
Alex,m,h,1645
Alex,m,w,832
Alexa,f,a,60
Alexa,f,b,72
Alexa,f,h,1867
Alexa,f,w,1249
Alexander,m,a,1568
Alexander,m,b,1155
Alexander,m,h,5261
Alexander,m,w,5861
Alexandra,f,a,341
Alexandra,f,b,66
Alexandra,f,h,1014
Alexandra,f,w,2820
Alexandria,f,b,70
Alexandria,f,w,60
Alexia,f,h,306
Alexia,f,w,60
Alexis,f,a,120
Alexis,f,b,330
Alexis,f,h,76
Alexis,f,w,642
Alexis,m,h,1203
Alfred,m,a,108
Alfredo,m,h,172
Ali,m,a,525
Ali,m,b,259
Ali,m,w,1147
Alia,f,h,49
Aliah,f,h,44
Alice,f,a,889
Alice,f,h,546
Alice,f,w,1532
Alicia,f,a,72
Alicia,f,b,156
Alicia,f,h,508
Alicia,f,w,66
Alijah,m,b,60
Alina,f,a,932
Alina,f,h,520
Alina,f,w,417
Alisa,f,a,66
Alisa,f,w,335
Alisha,f,a,285
Alison,f,h,737
Alissa,f,h,60
Alisson,f,h,261
Aliya,f,a,20
Aliya,f,w,10
Aliyah,f,a,82
Aliyah,f,b,565
Aliyah,f,h,568
Aliza,f,a,46
Aliza,f,w,539
Allan,m,h,258
Allen,m,a,694
Allen,m,h,399
Allen,m,w,66
Allison,f,a,426
Allison,f,h,2648
Allison,f,w,397
Allyson,f,h,454
Alma,f,h,179
Alma,f,w,281
Alondra,f,h,436
Alonso,m,h,82
Alpha,m,b,299
Alston,m,a,212
Alter,m,w,90
Alvin,m,a,1070
Alvin,m,b,60
Alvin,m,h,162
Alyson,f,h,66
Alyssa,f,a,625
Alyssa,f,b,788
Alyssa,f,h,1244
Alyssa,f,w,704
Amadou,m,b,456
Amaia,f,h,133
Amalia,f,h,279
Amalia,f,w,204
Amanda,f,a,466
Amanda,f,b,168
Amanda,f,h,935
Amanda,f,w,325
Amani,f,b,160
Amar'e,m,b,240
Amara,f,a,33
Amara,f,b,126
Amara,f,h,12
Amara,f,w,10
Amare,m,b,330
Amari,m,b,1202
Amari,m,h,37
Amaya,f,a,116
Amaya,f,b,848
Amaya,f,h,973
Amayah,f,b,23
Amayah,f,h,11
Ambar,f,h,12
Amber,f,a,489
Amber,f,b,274
Amber,f,h,707
Amberly,f,h,66
Ameer,m,b,10
Ameer,m,w,26
Amelia,f,a,812
Amelia,f,b,668
Amelia,f,h,1392
Amelia,f,w,2152
Amelie,f,h,76
Amelie,f,w,348
Amia,f,b,72
Amina,f,a,189
Amina,f,b,549
Amina,f,h,10
Amina,f,w,606
Aminata,f,b,744
Amir,m,a,10
Amir,m,b,2601
Amir,m,h,618
Amir,m,w,730
Amira,f,a,31
Amira,f,b,452
Amira,f,h,39
Amira,f,w,416
Amirah,f,b,509
Amirah,f,h,13
Amirjon,m,w,10
Amiya,f,b,60
Amiyah,f,b,536
Amora,f,b,15
Amrom,m,w,100
Amy,f,a,687
Amy,f,h,2162
Amy,f,w,228
Ana,f,h,961
Ana,f,w,201
Anabel,f,h,66
Anabella,f,h,154
Anabelle,f,h,60
Anabia,f,a,68
Anahi,f,h,12
Anais,f,h,73
Analia,f,h,338
Ananya,f,a,60
Anas,m,w,16
Anastasia,f,h,63
Anastasia,f,w,709
Anaya,f,a,498
Anaya,f,b,246
Anaya,f,h,230
Anayah,f,a,60
Anderson,m,a,96
Anderson,m,h,810
Anderson,m,w,80
Andre,m,b,423
Andre,m,h,258
Andrea,f,h,1328
Andres,m,h,990
Andrew,m,a,1480
Andrew,m,b,915
Andrew,m,h,2754
Andrew,m,w,3111
Andy,m,a,1221
Andy,m,h,1016
Angel,f,a,440
Angel,f,b,284
Angel,m,b,141
Angel,m,h,5955
Angela,f,a,1514
Angela,f,h,588
Angela,f,w,20
Angelica,f,h,725
Angelica,f,w,132
Angelina,f,a,720
Angelina,f,b,275
Angelina,f,h,1465
Angelina,f,w,1223
Angeline,f,h,72
Angelique,f,h,568
Angelo,m,h,410
Angelo,m,w,481
Angely,f,h,66
Angie,f,a,71
Angie,f,h,523
Angus,m,a,96
Anika,f,a,188
Anisa,f,a,10
Anisa,f,w,194
Anisha,f,a,84
Aniya,f,b,350
Aniyah,f,b,743
Aniyah,f,h,168
Anjali,f,a,10
Anna,f,a,1014
Anna,f,h,275
Anna,f,w,2594
Annabel,f,w,253
Annabella,f,h,198
Annabelle,f,a,294
Annabelle,f,b,80
Annabelle,f,h,287
Annabelle,f,w,689
Annalise,f,h,124
Anne,f,a,96
Anne,f,w,208
Annie,f,a,681
Annie,f,h,11
Annika,f,a,72
Ansel,m,w,11
Anson,m,a,596
Anthony,m,a,1057
Anthony,m,b,1442
Anthony,m,h,5019
Anthony,m,w,3373
Anton,m,w,142
Antonella,f,h,115
Antonia,f,w,263
Antonio,m,b,276
Antonio,m,h,803
Antonio,m,w,722
Anya,f,a,264
Anya,f,w,11
April,f,h,389
Arabella,f,h,108
Arabella,f,w,12
Archer,m,w,257
Arden,f,w,13
Arely,f,h,210
Arham,m,a,225
Ari,m,w,1117
Aria,f,a,697
Aria,f,b,555
Aria,f,h,549
Aria,f,w,819
Ariadna,f,h,22
Ariadne,f,h,12
Ariah,f,b,118
Ariah,f,h,11
Arian,m,h,66
Ariana,f,a,677
Ariana,f,b,564
Ariana,f,h,2094
Ariana,f,w,951
Arianna,f,a,397
Arianna,f,b,1079
Arianna,f,h,2071
Arianna,f,w,830
Arianny,f,h,171
Ariel,f,a,345
Ariel,f,b,1058
Ariel,f,h,475
Ariel,f,w,241
Ariel,m,h,499
Ariel,m,w,635
Ariela,f,w,60
Ariella,f,a,13
Ariella,f,b,11
Ariella,f,h,320
Ariella,f,w,860
Arielle,f,b,604
Arielle,f,h,224
Arielle,f,w,145
Arisha,f,a,173
Ariyah,f,b,35
Arjun,m,a,608
Arleth,f,h,11
Arlette,f,h,48
Arlo,m,w,188
Armaan,m,a,194
Armando,m,h,150
Armani,m,b,60
Armani,m,h,461
Aron,m,w,1901
Arthur,m,a,39
Arthur,m,w,892
Arturo,m,h,80
Arvin,m,a,66
Arya,f,a,652
Arya,f,b,51
Arya,f,h,177
Arya,f,w,41
Aryan,m,a,550
Arye,m,w,82
Aryeh,m,w,736
Asher,m,a,277
Asher,m,b,164
Asher,m,h,87
Asher,m,w,1840
Ashley,f,a,1189
Ashley,f,b,430
Ashley,f,h,4079
Ashley,f,w,478
Ashly,f,h,89
Ashton,m,a,36
Ashton,m,b,664
Ashton,m,h,387
Ashton,m,w,132
Asia,f,b,72
Astrid,f,w,10
Atara,f,w,149
Athena,f,a,232
Athena,f,b,10
Athena,f,h,528
Athena,f,w,236
Atticus,m,w,60
Aubree,f,b,172
Aubree,f,h,224
Aubrey,f,b,626
Aubrey,f,h,915
Aubrey,f,w,275
Audrey,f,a,829
Audrey,f,b,11
Audrey,f,h,282
Audrey,f,w,974
August,m,b,40
August,m,h,26
August,m,w,760
Augustus,m,w,80
Aurelia,f,w,12
Aurora,f,a,37
Aurora,f,b,11
Aurora,f,h,407
Aurora,f,w,267
Austin,m,a,1745
Austin,m,b,638
Austin,m,h,892
Austin,m,w,765
Autumn,f,b,827
Autumn,f,h,233
Autumn,f,w,95
Ava,f,a,1112
Ava,f,b,1934
Ava,f,h,2078
Ava,f,w,4262
Avery,f,a,461
Avery,f,b,320
Avery,f,h,540
Avery,f,w,1715
Avery,m,a,66
Avery,m,b,600
Avery,m,h,457
Avery,m,w,223
Avi,m,w,268
Aviel,m,w,10
Avigail,f,w,319
Avital,f,w,60
Aviva,f,w,409
Avraham,m,w,1373
Avril,f,h,66
Avrohom,m,w,805
Avrum,m,w,420
Awa,f,b,60
Axel,m,h,1690
Axel,m,w,209
Aya,f,w,191
Ayaan,m,a,1247
Ayala,f,w,106
Ayan,m,a,402
Ayanna,f,b,78
Ayat,f,a,58
Ayden,m,a,555
Ayden,m,b,1796
Ayden,m,h,2359
Ayden,m,w,285
Aydin,m,a,34
Aydin,m,w,66
Ayelet,f,w,12
Ayesha,f,a,617
Ayla,f,h,35
Ayla,f,w,387
Ayleen,f,h,274
Aylin,f,h,764
Ayra,f,a,10
Azaan,m,a,73
Azaria,f,b,60
Azariah,f,b,20
Aziza,f,w,66
Baila,f,w,1353
Bailey,f,b,10
Bailey,f,w,12
Barbara,f,w,146
Baruch,m,w,472
Basya,f,w,84
Batsheva,f,w,920
Batya,f,w,102
Beatrice,f,w,887
Beatrix,f,w,109
Beau,m,w,21
Beckett,m,w,325
Belen,f,h,10
Bella,f,a,710
Bella,f,b,387
Bella,f,h,1563
Bella,f,w,810
Ben,m,w,581
Benjamin,m,a,1135
Benjamin,m,b,659
Benjamin,m,h,1747
Benjamin,m,w,6273
Bennett,m,w,425
Benson,m,a,461
Bentzion,m,w,82
Benzion,m,w,465
Berish,m,w,143
