name,gender,count
Aahil,m,139
Aaliyah,f,3539
Aarav,m,331
Aaron,m,8666
Aarya,f,71
Aaryan,m,23
Aayan,m,273
Aayat,f,10
Abby,f,493
Abdiel,m,258
Abdoul,m,253
Abdoulaye,m,405
Abdul,m,487
Abdullah,m,913
Abdulloh,m,28
Abe,m,11
Abel,m,597
Abigail,f,7926
Aboubacar,m,13
Abraham,m,5130
Abrar,m,56
Abrielle,f,66
Abril,f,60
Abubakr,m,11
Ace,m,52
Ada,f,550
Adalynn,f,10
Adam,m,7335
Adan,m,186
Addison,f,825
Adelaide,f,361
Adele,f,662
Adelina,f,88
Adeline,f,395
Adelyn,f,93
Adelynn,f,11
Aden,m,630
Adiel,m,34
Adina,f,577
Aditya,m,228
Adonis,m,899
Adrian,m,6348
Adriana,f,2246
Adrianna,f,1095
Adriel,m,896
Adyan,m,193
Ahad,m,10
Aharon,m,412
Ahmad,m,311
Ahmed,m,1481
Ahnaf,m,157
Ahron,m,222
Ahuva,f,496
Aicha,f,437
Aidan,m,3057
Aiden,m,14382
Ailani,f,11
Aileen,f,590
Aimee,f,160
Aisha,f,1257
Aissata,f,60
Aissatou,f,370
Aitana,f,11
Aiza,f,229
Aizah,f,42
Akiva,m,661
Alahia,f,10
Alaia,f,339
Alaina,f,21
Alan,m,2966
Alana,f,1028
Alani,f,384
Alanis,f,235
Alanna,f,137
Alayna,f,57
Alba,f,10
Albert,m,1321
Alberto,m,340
Aldo,m,144
Aleah,f,66
Alec,m,132
Aleena,f,422
Alejandra,f,411
Alejandro,m,1782
Aleksander,m,60
Aleksandra,f,66
Alessandra,f,836
Alessandro,m,44
Alessia,f,484
Alex,m,3983
Alexa,f,3248
Alexander,m,13845
Alexandra,f,4241
Alexandria,f,130
Alexia,f,366
Alexis,f,1168
Alexis,m,1203
Alfred,m,108
Alfredo,m,172
Ali,m,1931
Alia,f,49
Aliah,f,44
Alice,f,2967
Alicia,f,802
Alijah,m,60
Alina,f,1869
Alisa,f,401
Alisha,f,285
Alison,f,737
Alissa,f,60
Alisson,f,261
Aliya,f,30
Aliyah,f,1215
Aliza,f,585
Allan,m,258
Allen,m,1159
Allison,f,3471
Allyson,f,454
Alma,f,460
Alondra,f,436
Alonso,m,82
Alpha,m,299
Alston,m,212
Alter,m,90
Alvin,m,1292
Alyson,f,66
Alyssa,f,3361
Amadou,m,456
Amaia,f,133
Amalia,f,483
Amanda,f,1894
Amani,f,160
Amar'e,m,240
Amara,f,181
Amare,m,330
Amari,m,1239
Amaya,f,1937
Amayah,f,34
Ambar,f,12
Amber,f,1470
Amberly,f,66
Ameer,m,36
Amelia,f,5024
Amelie,f,424
Amia,f,72
Amina,f,1354
Aminata,f,744
Amir,m,3959
Amira,f,938
Amirah,f,522
Amirjon,m,10
Amiya,f,60
Amiyah,f,536
Amora,f,15
Amrom,m,100
Amy,f,3077
Ana,f,1162
Anabel,f,66
Anabella,f,154
Anabelle,f,60
Anabia,f,68
Anahi,f,12
Anais,f,73
Analia,f,338
Ananya,f,60
Anas,m,16
Anastasia,f,772
Anaya,f,974
Anayah,f,60
Anderson,m,986
Andre,m,681
Andrea,f,1328
Andres,m,990
Andrew,m,8260
Andy,m,2237
Angel,f,724
Angel,m,6096
Angela,f,2122
Angelica,f,857
Angelina,f,3683
Angeline,f,72
Angelique,f,568
Angelo,m,891
Angely,f,66
Angie,f,594
Angus,m,96
Anika,f,188
Anisa,f,204
Anisha,f,84
Aniya,f,350
Aniyah,f,911
Anjali,f,10
Anna,f,3883
Annabel,f,253
Annabella,f,198
Annabelle,f,1350
Annalise,f,124
Anne,f,304
Annie,f,692
Annika,f,72
Ansel,m,11
Anson,m,596
Anthony,m,10891
Anton,m,142
Antonella,f,115
Antonia,f,263
Antonio,m,1801
Anya,f,275
April,f,389
Arabella,f,120
Archer,m,257
Arden,f,13
Arely,f,210
Arham,m,225
Ari,m,1117
Aria,f,2620
Ariadna,f,22
Ariadne,f,12
Ariah,f,129
Arian,m,66
Ariana,f,4286
Arianna,f,4377
Arianny,f,171
Ariel,f,2119
Ariel,m,1134
Ariela,f,60
Ariella,f,1204
Arielle,f,973
Arisha,f,173
Ariyah,f,35
Arjun,m,608
Arleth,f,11
Arlette,f,48
Arlo,m,188
Armaan,m,194
Armando,m,150
Armani,m,521
Aron,m,1901
Arthur,m,931
Arturo,m,80
Arvin,m,66
Arya,f,921
Aryan,m,550
Arye,m,82
Aryeh,m,736
Asher,m,2368
Ashley,f,6176
Ashly,f,89
Ashton,m,1219
Asia,f,72
Astrid,f,10
Atara,f,149
Athena,f,1006
Atticus,m,60
Aubree,f,396
Aubrey,f,1816
Audrey,f,2096
August,m,826
Augustus,m,80
Aurelia,f,12
Aurora,f,722
Austin,m,4040
Autumn,f,1155
Ava,f,9386
Avery,f,3036
Avery,m,1346
Avi,m,268
Aviel,m,10
Avigail,f,319
Avital,f,60
Aviva,f,409
Avraham,m,1373
Avril,f,66
Avrohom,m,805
Avrum,m,420
Awa,f,60
Axel,m,1899
Aya,f,191
Ayaan,m,1247
Ayala,f,106
Ayan,m,402
Ayanna,f,78
Ayat,f,58
Ayden,m,4995
Aydin,m,100
Ayelet,f,12
Ayesha,f,617
Ayla,f,422
Ayleen,f,274
Aylin,f,764
Ayra,f,10
Azaan,m,73
Azaria,f,60
Azariah,f,20
Aziza,f,66
Baila,f,1353
Bailey,f,22
Barbara,f,146
Baruch,m,472
Basya,f,84
Batsheva,f,920
Batya,f,102
Beatrice,f,887
Beatrix,f,109
Beau,m,21
Beckett,m,325
Belen,f,10
Bella,f,3470
Ben,m,581
Benjamin,m,9814
Bennett,m,425
Benson,m,461
Bentzion,m,82
Benzion,m,465
Berish,m,143
Berl,m,125
Bethany,f,10
Bianca,f,866
Billie,f,11
Bina,f,12
Bintou,f,109
Binyamin,m,114
Binyomin,m,324
Blair,f,10
Blake,f,227
Blake,m,1275
Blessing,f,91
Blima,f,757
Blimy,f,753
Bodhi,m,60
Bonnie,f,143
Boruch,m,352
Boubacar,m,172
Bowen,m,60
Bracha,f,707
Bradley,m,998
Brady,m,394
Brandon,m,7006
Brayan,m,577
Brayden,m,1173
Breindy,f,311
Brenda,f,325
Brendan,m,587
Bria,f,66
Brian,m,3130
Briana,f,703
