,name,count
0,Smith,2442977
1,Johnson,1932812
2,Williams,1625252
3,Brown,1437026
4,Jones,1425470
5,Garcia,1166120
6,Miller,1161437
7,Davis,1116357
8,Rodriguez,1094924
9,Martinez,1060159
10,Hernandez,1043281
11,Lopez,874523
12,Gonzalez,841025
13,Wilson,801882
14,Anderson,784404
15,Thomas,756142
16,Taylor,751209
17,Moore,724374
18,Jackson,708099
19,Martin,702625
20,Lee,693023
21,Perez,681645
22,Thompson,664644
23,White,660491
24,Harris,624252
25,Sanchez,612752
26,Clark,562679
27,Ramirez,557423
28,Lewis,531781
29,Robinson,529821
30,Walker,523129
31,Young,484447
32,Allen,482607
33,King,465422
34,Wright,458980
35,Scott,439530
36,Torres,437813
37,Nguyen,437645
38,Hill,434827
39,Flores,433969
40,Green,430182
41,Adams,427865
42,Nelson,424958
43,Baker,419586
44,Hall,407076
45,Rivera,391114
46,Campbell,386157
47,Mitchell,384486
48,Carter,376966
49,Roberts,376774
50,Gomez,365655
51,Phillips,360802
52,Evans,355593
53,Turner,348627
54,Diaz,347636
55,Parker,336221
56,Cruz,334201
57,Edwards,332423
58,Collins,329770
59,Reyes,327904
60,Stewart,324957
61,Morris,318884
62,Morales,311777
63,Murphy,308417
64,Cook,302589
65,Rogers,302261
66,Gutierrez,293218
67,Ortiz,286899
68,Morgan,286280
69,Cooper,280791
70,Peterson,278297
71,Bailey,277845
72,Reed,277030
73,Kelly,267394
74,Howard,264826
75,Ramos,263464
76,Kim,262352
77,Cox,261231
78,Ward,260464
79,Richardson,259798
80,Watson,252579
81,Brooks,251663
82,Chavez,250898
83,Wood,250715
84,James,249379
85,Bennett,247599
86,Gray,246116
87,Mendoza,242771
88,Ruiz,238234
89,Hughes,236271
90,Price,235251
91,Alvarez,233983
92,Castillo,230420
93,Sanders,230374
94,Patel,229973
95,Myers,229895
96,Long,229374
97,Ross,229368
98,Foster,227764
99,Jimenez,227118
100,Powell,224874
101,Jenkins,222653
102,Perry,221741
103,Russell,221558
104,Sullivan,220990
105,Bell,220599
106,Coleman,219070
107,Butler,218847
108,Henderson,218393
109,Barnes,218241
110,Gonzales,214758
111,Fisher,214703
112,Vasquez,212781
113,Simmons,210182
114,Romero,208614
115,Jordan,208403
116,Patterson,205423
117,Alexander,204621
118,Hamilton,201746
119,Graham,201159
120,Reynolds,200247
121,Griffin,198406
122,Wallace,197276
123,Moreno,196925
124,West,195818
125,Cole,195289
126,Hayes,194246
127,Bryant,192773
128,Herrera,192711
129,Gibson,190667
130,Ellis,188968
131,Tran,188498
132,Medina,188497
133,Aguilar,186512
134,Stevens,185674
135,Murray,184910
136,Ford,184832
137,Castro,184134
138,Marshall,183922
139,Owens,182719
140,Harrison,181091
141,Fernandez,180842
142,Mcdonald,180497
143,Woods,177425
144,Washington,177386
145,Kennedy,176865
146,Wells,176230
147,Vargas,173835
148,Henry,170964
149,Chen,169580
150,Freeman,169149
151,Webb,168878
152,Tucker,167446
153,Guzman,167044
154,Burns,165925
155,Crawford,164457
156,Olson,164035
157,Simpson,163181
158,Porter,163054
159,Hunter,162440
160,Gordon,161833
161,Mendez,161717
162,Silva,161633
163,Shaw,160400
164,Snyder,160262
165,Mason,160213
166,Dixon,159480
167,Munoz,158483
168,Hunt,158421
169,Hicks,158320
170,Holmes,156780
171,Palmer,156601
172,Wagner,155795
173,Black,154738
174,Robertson,153666
175,Boyd,153469
176,Rose,153397
177,Stone,153329
178,Salazar,152703
179,Fox,152334
180,Warren,152147
181,Mills,151942
182,Meyer,150895
183,Rice,149500
184,Schmidt,147034
185,Garza,147005
186,Daniels,146570
187,Ferguson,146426
188,Nichols,145584
189,Stephens,144646
190,Soto,144451
191,Weaver,143837
192,Ryan,143452
193,Gardner,142894
194,Payne,142601
195,Grant,142277
196,Dunn,141427
197,Kelley,140693
198,Spencer,139951
199,Hawkins,139751
200,Arnold,138893
201,Pierce,138629
202,Vazquez,138322
203,Hansen,137977
204,Peters,137513
205,Santos,137232
206,Hart,137184
207,Bradley,136720
208,Knight,136713
209,Elliott,135765
210,Cunningham,135718
211,Duncan,135187
212,Armstrong,135044
213,Hudson,134963
214,Carroll,134317
215,Lane,134227
216,Riley,133872
217,Andrews,133799
218,Alvarado,133501
219,Ray,133171
220,Delgado,132985
221,Berry,132812
222,Perkins,131440
223,Hoffman,131401
224,Johnston,131373
225,Matthews,131303
226,Pena,130776
227,Richards,130529
228,Contreras,130164
229,Willis,130152
230,Carpenter,129898
231,Lawrence,129699
232,Sandoval,128948
233,Guerrero,128677
234,George,128625
235,Chapman,127939
236,Rios,127794
237,Estrada,127470
238,Ortega,127256
239,Watkins,127083
240,Greene,126101
241,Nunez,125350
242,Wheeler,125058
243,Valdez,124995
244,Harper,124461
245,Burke,122877
246,Larson,122587
247,Santiago,122212
248,Maldonado,121526
249,Morrison,121130
250,Franklin,120621
251,Carlson,120552
252,Austin,119706
253,Dominguez,119304
254,Carr,119076
255,Lawson,119053
256,Jacobs,118614
257,Obrien,118557
258,Lynch,117708
259,Singh,116749
260,Vega,116673
261,Bishop,116618
262,Montgomery,115953
263,Oliver,115900
264,Jensen,115679
265,Harvey,115662
266,Williamson,114959
267,Gilbert,114940
268,Dean,114030
269,Sims,113374
270,Espinoza,112154
271,Howell,112041
272,Li,111786
273,Wong,111371
274,Reid,111360
275,Hanson,111144
276,Le,110967
277,Mccoy,110744
278,Garrett,110697
279,Burton,110529
